as_of,strategy,fwd_months,fwd_ann_return,fwd_ann_vol,fwd_sharpe,fwd_max_dd
2023-08,steady_carry,6,0.037177654496566515,0.007190394523964704,2.388972460317093,0.0
2023-08,balanced_core,6,-0.022751570420206257,0.07689843923348222,-0.5559484801817912,0.06141600531794977
2023-08,global_equity_momentum,6,-0.1098738502658807,0.13403266506871458,-0.9689716323949703,0.12695265057127259
2023-08,all_weather_risk_parity,6,-0.052256823507747074,0.054629990410952796,-1.3226585427564026,0.053014726245184995
2023-08,aggressive_frontier,6,-0.2682198138210642,0.22642355740985268,-1.272923264337523,0.2222057769885163
2023-08,crypto_barbell,6,-0.43233563613626025,0.48492785146786416,-0.9327895578013345,0.3719305978909023
2023-11,steady_carry,6,0.056818198392583064,0.003783399031042867,9.73151340646043,0.0
2023-11,balanced_core,6,0.41218642175157716,0.07072717788956645,5.5450596708939495,0.004985529889663942
2023-11,global_equity_momentum,6,0.7138452218250366,0.19436552781540667,3.5697956814852327,0.03931873087360571
2023-11,all_weather_risk_parity,6,0.2010105802501445,0.015696019472466568,11.532260173840076,0.0
2023-11,aggressive_frontier,6,1.5026520115416635,0.17338669410856627,8.551129134588027,0.006329706918923095
2023-11,crypto_barbell,6,3.950132175909893,0.20586120223933063,19.091174700033033,0.0
2024-02,steady_carry,6,0.02691520913335199,0.006917220412753035,0.9997092358951963,0.0014796263451831715
2024-02,balanced_core,6,0.03691062828408764,0.050937105746188434,0.3319903641237615,0.017159058872886268
2024-02,global_equity_momentum,6,-0.10527994786432238,0.05728725729426037,-2.1868728541290143,0.05410357219425044
2024-02,all_weather_risk_parity,6,-0.03622092604165017,0.046112866346065776,-1.2192025891369642,0.01970237566242905
2024-02,aggressive_frontier,6,-0.03924901958878979,0.04035015417999311,-1.468371578569267,0.03147866354864348
2024-02,crypto_barbell,6,-0.14505766885177984,0.3162772103200344,-0.5218765799937383,0.23629376604808494
2024-05,steady_carry,6,-0.00038641032111841334,0.008495601028908867,-2.399643091965766,0.005221441330580112
2024-05,balanced_core,6,-0.08762762135312452,0.12743750915326854,-0.8445521422086275,0.09673224919440293
2024-05,global_equity_momentum,6,-0.09225785221205396,0.1877257700819601,-0.5979885029265976,0.12463981926565859
2024-05,all_weather_risk_parity,6,-0.06987496196719234,0.11595109824952632,-0.7751109159292461,0.08619895048127224
2024-05,aggressive_frontier,6,-0.04767352135708791,0.2675449055836117,-0.25294266474432625,0.1668267933490476
2024-05,crypto_barbell,6,0.19507974317248666,0.30992853203531556,0.5649035989772532,0.17184600507837455
2024-08,steady_carry,6,0.012205181414600919,0.01441973787324295,-0.5405659002902563,0.008454971806982847
2024-08,balanced_core,6,0.03139086612148323,0.0693927776891331,0.16415060040559576,0.028376259581324725
2024-08,global_equity_momentum,6,0.35551284944182227,0.16511623873954898,2.0319797253318823,0.015514312975774214
2024-08,all_weather_risk_parity,6,0.09769074722675852,0.06304281041651331,1.2323490452514527,0.010831958867862479
2024-08,aggressive_frontier,6,0.015878080635364222,0.16098116988822292,-0.02560497831825814,0.10151051096793928
2024-08,crypto_barbell,6,-0.21340467358252713,0.2530849954690607,-0.9222382905392766,0.2109009001916311
2024-11,steady_carry,6,0.03138165505170876,0.009355362607467341,1.216591545326533,0.0
2024-11,balanced_core,6,0.06445782115438115,0.0601824464266833,0.7387174133663952,0.018841033551852182
2024-11,global_equity_momentum,6,0.20974836122425922,0.09821409748985706,1.931987016872555,0.024687564003339157
2024-11,all_weather_risk_parity,6,0.03324847709783452,0.05605371386977802,0.23635324375852962,0.01737227690326204
2024-11,aggressive_frontier,6,0.11966709773532269,0.07715756587439078,1.2917346031570833,0.0256731920962473
2024-11,crypto_barbell,6,-0.006118982213393798,0.06551168847790044,-0.3986919406329256,0.043775600023999495
2025-02,steady_carry,6,0.04849562572038946,0.014096700811491536,2.021439349635626,0.0
2025-02,balanced_core,6,0.2867375034220574,0.10456858453188302,2.5508378507383256,0.01887172387046676
2025-02,global_equity_momentum,6,0.4611199384384925,0.2580390860860896,1.7095082188103923,0.03028431090831274
2025-02,all_weather_risk_parity,6,0.1727445879068883,0.08175263693928525,1.8683750595143032,0.010817199638823993
2025-02,aggressive_frontier,6,0.4303583486076077,0.3132529921770844,1.3099901959615723,0.04096953671245496
2025-02,crypto_barbell,6,0.1408646794088595,0.2559701360704226,0.4721827368783644,0.0839586616580088
2025-05,steady_carry,6,0.04529824811728478,0.024335771423248116,1.039549874022781,0.00852678070421331
2025-05,balanced_core,6,0.36635444366880154,0.1121486742768226,3.088350762077457,0.018725904657257098
2025-05,global_equity_momentum,6,1.0043615316122017,0.22557999410990992,4.363691627425917,0.0038149886693368273
2025-05,all_weather_risk_parity,6,0.3006210050060969,0.08633972269646017,3.2501958107123037,0.012717614590552317
2025-05,aggressive_frontier,6,0.6829971691222101,0.27560831208750325,2.405577553523546,0.04305784379958699
2025-05,crypto_barbell,6,-0.06901909989584831,0.29698001977482724,-0.29974777415444764,0.20497229638490455
2025-08,steady_carry,6,0.019172204288445016,0.00372915249209871,-0.22197958203879012,0.00020080866001026543
2025-08,balanced_core,6,0.11766212091415551,0.08158560585622836,1.197050875448023,0.02375934827969095
2025-08,global_equity_momentum,6,0.4288460601788677,0.19118465162829143,2.1384878791094692,0.061383118701144546
2025-08,all_weather_risk_parity,6,0.1409500950860323,0.06487028008019834,1.8644916429604306,0.02226972171140429
2025-08,aggressive_frontier,6,0.20736225089472105,0.20277816147363675,0.9239764752432676,0.06890394715975823
2025-08,crypto_barbell,6,-0.21720015729783604,0.14861314379917373,-1.5960913768056284,0.16752294271278023
